Name	Article Title	Title	Author(s)	Year	Citation	Keywords	Item Type	Path
Biochemistry_1999_v38_pp5603_5611_Becker_et_al_double_helix_dehydrated.pdf	The Double Helix Is Dehydrated: Evidence from the Hydrolysis of Acridinium Ester-Labeled Probes	The Double Helix Is Dehydrated: Evidence from the Hydrolysis of Acridinium Ester-Labeled Probes	"Becker, M.,* Lerum, V., Dickson, S., Nelson, N.C. & Matsuda, E."	1999	"Biochemistry 1999, 38, 5603-5611"		Item	sites/articleArch/Shared Documents
BiochimBiophysActa_1996_1307_178_186_Riggs_et_al_DNA_pol_I_mutants.pdf	Construction of single amino acid substitution mutants of cloned Bacillus stearothermophilus DNA polymerase I which lack 5? ? 3? exonuclease activity	Construction of single amino acid substitution mutants of cloned Bacillus stearothermophilus DNA polymerase I which lack 5? ? 3? exonuclease activity	"Riggs, M.G.,* Tudor, S., Sivaram, M. & McDonough, S.H."	1996	"Biochimica et Biophysica Acta 1996, 1307, 178-186"	DNA polymerase I gene; Exonuclease activity; Substitution mutant; (B. stearothermophilus)	Item	sites/articleArch/Shared Documents
Biologicals_1996_v24_pp187_188_Longiaru_probes_hybridization.pdf	Probes in DNA/RNA Hybridization	Probes in DNA/RNA Hybridization	"Longiaru, M.*"	1996	"Biologicals 1996, 24, 187–188"		Item	sites/articleArch/Shared Documents
BiolumChemilum_1991_pp553_556_Weeks_and_Woodhead_acridinium_label_assays.pdf	Chemiluminescent Assays Based on Acridinium Labels	Chemiluminescent Assays Based on Acridinium Labels	"Weeks, I. & Woodhead, J.S."	1991	"in Bioluminescence and Chemiluminescence {Proceedings of the VIth International Symposium on Bioluminescence and Chemiluminescence, Cambridge, September 1990}, Stanley, P.E. & Kricka, L.J. (Eds.), pp. 553-556, 1991, John Wiley & Sons, New York, NY"		Item	sites/articleArch/Shared Documents
CancerLet_2007_249_5_13_Reynolds_et_al_prostate_cancer_markers.pdf	Molecular markers for prostate cancer	Molecular markers for prostate cancer	"Reynolds, M.A.,* Kastury, K., Groskopf, J., Schalken, J.A. & Rittenhouse, H."	2007	"Cancer Letters 2007, 249, 5-13"	"Prostate cancer; Molecular test; Epigenetic markers; Gene expression markers; Genetic polymorphisms; Chromosomal
translocations; Non-coding RNA"	Item	sites/articleArch/Shared Documents
CancerLet_2011_301_1_6_Day_et_al_PCA3.pdf	PCA3: From basic molecular science to the clinical lab	PCA3: From basic molecular science to the clinical lab	"Day, J.R.,* Jost, M., Reynolds, M.A., Groskopf, J. & Rittenhouse, H.
"	2011	"Cancer Letters 2011, 301, 1-6"	"PCA3, DD3, Prostate cancer, Diagnostic, Marker"	Item	sites/articleArch/Shared Documents
CancerLetters_2008_v270_pp13_24_Reynolds_prostate_cancer_review.pdf	Molecular alterations in prostate cancer	Molecular alterations in prostate cancer	"Reynolds, M.A.*"	2008	"Cancer Letters 2008, 270, 13-24"	Prostate cancer; Gene expression markers; Genetic polymorphisms; Gene fusions; Epigenetic modulation; Methylation markers; Alternative splicing; Non-coding RNA; MicroRNA	Item	sites/articleArch/Shared Documents
ClinCancerRes_2007_13_2599_2605_Castle_et_al_HPV_mRNA.pdf	A Cross-sectional Study of a Prototype Carcinogenic Human Papillomavirus E6/E7Messenger RNA Assay for Detection of Cervical Precancer and Cancer	A Cross-sectional Study of a Prototype Carcinogenic Human Papillomavirus E6/E7Messenger RNA Assay for Detection of Cervical Precancer and Cancer	"Castle, P.E.,* Dockter, J., Giachetti, C., Garcia, F.A., McCormick, M.K., Mitchell, A.L., Holladay, E.B. & Kolk, D.P."	2007	"Clinical Cancer Research 2007, 13, 2599-2605"		Item	sites/articleArch/Shared Documents
ClinChem_1989_v35_pp1588_1594_Arnold_et_al_AE_probe_assay_formats.pdf	Assay Formats Involving Acridinium-Ester-Labeled DNA Probes	Assay Formats Involving Acridinium-Ester-Labeled DNA Probes	"Arnold Jr., L.J.,* Hammond, P.W., Wiese, W.A. & Nelson, N.C."	1989	"Clinical Chemistry 1989, 35, 1588-1594"	"homogeneous, hybridization assay,
rRNA hybridization, DNA hybridization"	Item	sites/articleArch/Shared Documents
ClinChem_1991_v37_p472_Woodhead_and_Weeks_AE_immunochemiluminescent_assays.pdf	Immunochemiluminometric Assays Based on Acridinium Labels with a Microtiter Plate Luminometer	Immunochemiluminometric Assays Based on Acridinium Labels with a Microtiter Plate Luminometer	"Woodhead, J.S. & Weeks, I."	1991	"Clinical Chemistry 1991, 37, 472"		Item	sites/articleArch/Shared Documents
ClinChem_2001_v47_pp760_763_Johnson_et_al_semiautomated_CtGc.pdf	Semiautomation of Nucleic Acid-based Assays for Chlamydia trachomatis and Neisseria gonorrhoeae	Semiautomation of Nucleic Acid-based Assays for Chlamydia trachomatis and Neisseria gonorrhoeae	"Johnson, S.J.,* Green, D.H., Reed, D.A. & Wood, L.S."	2001	"Clinical Chemistry 2001, 47, 760-763"		Item	sites/articleArch/Shared Documents
ClinChem_2006_52_1089_1095_Groskopf_et_al_PCA3_urine_assay.pdf	APTIMA PCA3 Molecular Urine Test: Development of a Method to Aid in the Diagnosis of Prostate Cancer	APTIMA PCA3 Molecular Urine Test: Development of a Method to Aid in the Diagnosis of Prostate Cancer	"Groskopf, J.,* Aubin, S.M., Deras, I.L., Blase, A., Bodrug, S., Clark, C., Brentano, S., Mathis, J., Pham, J., Meyer, T., Cass, M., Hodge, P., Macairan, M.L., Marks, L.S. & Rittenhouse,H."	2006	"Clinical Chemistry 2006, 52, 1089-1095"		Item	sites/articleArch/Shared Documents
ClinChemActa_1992_210_167_178_Page_et_al_acridinium_immunoassays.pdf	Immunochemiluminometric assays (ICMA) specific for growth hormone releasing hormone 1-44 NH2 and l-40 OH	Immunochemiluminometric assays (ICMA) specific for growth hormone releasing hormone 1-44 NH2 and l-40 OH	"Page, M.D., Edwards, C.A., Brown, R., Weeks, I., Woodhead, J.S. & Scanlona, M.F.*"	1992	"Clinica Chimica Acta 1992, 210, 167-178"	Luminescence; Assay; Human; Hypothalamus; Somatotropin-releasing hormone	Item	sites/articleArch/Shared Documents
ClinChimActa_1990_v194_pp73_90_Nelson_and_Kacian_compar_AE_dioxetane.pdf	Chemiluminescent DNA probes: a comparison of the acridinium ester and dioxetane detection systems and their use in clinical diagnostic assays	Chemiluminescent DNA probes: a comparison of the acridinium ester and dioxetane detection systems and their use in clinical diagnostic assays	"Nelson, N.C.* & Kacian, D.L."	1990	"Clinica Chimica Acta 1990, 194, 73-90"	Acridinium esters; Chemiluminescence: Dioxetane; DNA Probe: Hybridization	Item	sites/articleArch/Shared Documents
ClinChimActa_2008_389_1_6_Sokoll_et_al_PCA3_evaluation.pdf	"A multicenter evaluation of the PCA3 molecular urine test: Pre-analytical effects, analytical performance, and diagnostic accuracy"	"A multicenter evaluation of the PCA3 molecular urine test: Pre-analytical effects, analytical performance, and diagnostic accuracy"	"Sokoll, L.J.,* Ellis, W., Lange, P., Noteboom, J., Elliott, D.J., Deras, I.L., Blase, A., Koo, S., Sarno, M., Rittenhouse, H., Groskopf, J. & Vessella, R.L."	2008	"Clinica Chimica Acta 2008, 389, 1-6"	PCA3; PSA; Prostate cancer; Molecular urine test	Item	sites/articleArch/Shared Documents
ClinLabMed_1997_v17_pp119_128_Jonas_and_Longiaru_Detection_of_Mtb.pdf	Detection of Mycobacterium tuberculosis by Molecular Methods	Detection of Mycobacterium tuberculosis by Molecular Methods	"Jonas, V.* & Longiaru, M."	1997	"Clinics in Laboratory Medicine, 1997, 17, 119-128"		Item	sites/articleArch/Shared Documents
CritRevClinLabSci_1998_v35_pp369_414_Nelson_Detect_Genet_Mutat_HPA.pdf	Rapid Detection of Genetic Mutations Using the Chemiluminescent Hybridization Protection Assay (HPA): Overview and Comparison with Other Methods 	Rapid Detection of Genetic Mutations Using the Chemiluminescent Hybridization Protection Assay (HPA): Overview and Comparison with Other Methods	"Nelson, N.C.*"	1998	"Critical Reviews in Clinical Laboratory Sciences 1998, 35, 369-414"	"Diagnostics, oligonucleotide, acridinium ester, single-base mismatches, DNA, homogeneous. transcription-mediated amplification, ligase, PCR, allele specific amplification, primer extension, restriction, arrays, chips"	Item	sites/articleArch/Shared Documents
CurrProtNucleicAcids_2006_10.10_1_7_Alazard_and_Russell_MALDI_sequencing.pdf	Sequencing Oligonucleotides by Enrichment of Coupling Failures Using Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry	Sequencing Oligonucleotides by Enrichment of Coupling Failures Using Matrix-Assisted Laser Desorption/Ionization Time-of-Flight Mass Spectrometry	"Alazard, D. & Russell, J."	2005	"Current Protocols in Nucleic Acid Chemistry 2005, Suppl. 23, 10.10.1-10.10.7, John Wiley and Sons, Inc."	oligonucleotide sequencing; MALDI-TOF mass spectrometry; crude synthetic oligonucleotide; coupling failures; coupling efficiency; solid-phase extraction	Item	sites/articleArch/Shared Documents
DiagMicrobiolInfectDis_1995_22_297_299_Welch_et_al_amplified_Mtb_direct_test.pdf	Performance of the Gen-Probe amplified Mycobacterium tuberculosis direct test in a laboratory that infrequently isolates Mycobacterium tuberculosis	Performance of the Gen-Probe amplified Mycobacterium tuberculosis direct test in a laboratory that infrequently isolates Mycobacterium tuberculosis	"Welch, K., Brown, G., Jonas, V. & Ferraro, M.J.*
"	1995	"Diagnostic Microbiology and Infectious Disease 1995, 22, 297-299"		Item	sites/articleArch/Shared Documents
EAU_UpdateSeries_2005_3_200_213_Hessels_et_al_prostate_cancer_diagnostics.pdf	Molecular Diagnostics in Prostate Cancer	Molecular Diagnostics in Prostate Cancer	"Hessels, D., Rittenhouse, H.G. & Schalken, J.A.*"	2005	"EAU Update Series 2005, 3, 200-213"	"Prostate cancer; Diagnosis; Prognosis; Molecular techniques; Molecular tumor markers; Gene
expression; Body fluids; Diagnostic tests"	Item	sites/articleArch/Shared Documents
EnvToxChem_2003_v22_pp3001_3008_ThomasJones_et_al_vitellogenin_mRNA_response_to_estradiols.pdf	Dynamics of estrogen biomarker responses in rainbow trout exposed to 17beta-estradiol and 17alpha-ethinylestradiol	Dynamics of estrogen biomarker responses in rainbow trout exposed to 17beta-estradiol and 17alpha-ethinylestradiol	"Thomas-Jones, E., Thorpe, K., Harrison, N., Thomas, G., Morris, C.,* Hutchinson, T., Woodhead, S. & Tyler, C. "	2003	"Environmental Toxicology and Chemistry 2003, 22, 3001–3008"	"Hybridization protection assay, Endocrine disruption, Rainbow trout, Vitellogenin, Gene expression"	Item	sites/articleArch/Shared Documents
EnvToxChem_2003_v22_pp992_995_ThomasJones_et_al_vitellogenin_mRNA_response_to_estradiols.pdf	Quantitative measurement of fathead minnow vitellogenin mRNA using hybridization protection assays	Quantitative measurement of fathead minnow vitellogenin mRNA using hybridization protection assays	"Thomas-Jones, E., Walkley, N., Morris, C., Kille, P., Cryer, J., Weeks, I. & Woodhead, J.S.* "	2003	"Environmental Toxicology and Chemistry 2003, 22, 992–995"	"Hybridization protection assay, Endocrine disruption, Fathead minnow, Vitellogenin, Gene expression"	Item	sites/articleArch/Shared Documents
ExpertRevMolDiagn_2001_1_445_455_Hill_TMA_technology.pdf	Molecular diagnostic testing for infectious diseases using TMA technology	Molecular diagnostic testing for infectious diseases using TMA technology	"Hill, C.S.*"	2001	"Expert Review of Molecular Diagnostics
"		Item	sites/articleArch/Shared Documents
FreseniusJAnalChem_1990_v337_p95_Kacian_et_al_HPA_for_HIV_n_HBV_detection.pdf	A rapid and sensitive chemiluminescent DNA probe system (HPA) for detection of amplified HIV and HBV DNA	A rapid and sensitive chemiluminescent DNA probe system (HPA) for detection of amplified HIV and HBV DNA	"Kacian, D., Lawrence, T., Sanders, M., Putnam, J., Majlessi, M., McDonough, S. & Ryder, T."	1990	"Fresenius Journal of Analytical Chemistry 1990 337, 95"		Item	sites/articleArch/Shared Documents
Hepatology_1995_v21_pp884_887_Mimms_HBV_Escape_Mutants.pdf	"Hepatitis B Virus Escape Mutants: ""Pushing the Envelope"" of Chronic Hepatitis B Virus Infection"	"Hepatitis B Virus Escape Mutants: ""Pushing the Envelope"" of Chronic Hepatitis B Virus Infection"	"Mimms, L.*"	1995	"Hepatology 1995, 21, 884-887"		Item	sites/articleArch/Shared Documents
Hepatology_2005_42_86_92_Mosley_et_al_early_HCV_factors.pdf	Viral and Host Factors in Early Hepatitis C Virus Infection	Viral and Host Factors in Early Hepatitis C Virus Infection	"Mosley, J.W.,* Operskalski, E.A., Tobler, L.H., Andrews, W.W., Phelps, B., Dockter, J., Giachetti, C. & Busch, M.P. for the Transfusion-transmitted Viruses Study and Retrovirus Epidemiology Donor Study Groups"	2005	"Hepatology 2005, 42, 86-92"		Item	sites/articleArch/Shared Documents
InfusionstherTransfusionsmed_1998_25_164_164_169_McDonough_et_al_HTP_assay_for_HIV_HCV.pdf	High Throughput Assay for the Simultaneous or Separate Detection of Human Immunodeficiency Virus (HIV) and Hepatitis Type C Virus (HCV)	High Throughput Assay for the Simultaneous or Separate Detection of Human Immunodeficiency Virus (HIV) and Hepatitis Type C Virus (HCV)	"McDonough, S.H.,* Giachetti, C., Yang, Y., Kolk, D.P., Billyard, E. &  Mimms, L."	1998	"Infusionstherapie und Transfusionsmedizin 1998, 25, 164-169"	Blood screening · Nucleic acid amplification · HIV · HCV · High throughput	Item	sites/articleArch/Shared Documents
IVD_Technology_April_2001_Kolk_Friedenberg_Detection_HIV1_HCV.pdf	Detection of HIV-1 and HCV amplification products	Detection of HIV-1 and HCV amplification products	"Kolk, D.P. & Friedenberg, M.C."	2001	IVD Technology April 2001 		Item	sites/articleArch/Shared Documents
IVD_Technology_July_2005_Friedenberg_et_al_automated_instrument.pdf	Developing a fully automated instrument for molecular diagnostic assays	Developing a fully automated instrument for molecular diagnostic assays	"Friedenberg, M.C., Macioszek, J., Scalese, R., Hill, C.S. & Day, V.M."	2005	"IVD Technology, July 2005"		Item	sites/articleArch/Shared Documents
IVD_Technology_March_April_1998_48_54_Nelson_building_nucleic_acid_IVDs.pdf	Molecular tools for building nucleic acid IVDs	Molecular tools for building nucleic acid IVDs	"Nelson, N.C.*"	1998	IVD Technology March 1998		Item	sites/articleArch/Shared Documents
IVD_Technology_October_2004_Getman_and_Lee_molecular_diagnostics_tools.pdf	Introduction to tools for molecular diagnostics	Introduction to tools for molecular diagnostics	"Getman, D. & Lee, R."	2004	"IVD Technology, October 2004"		Item	sites/articleArch/Shared Documents
JAcquirImmuneDeficSyndr_2007_v44_pp315_320_Re_et_al_HBV_outcome_among_HIV_patients.pdf	"Prevalence, risk factors, and outcomes for occult hepatitis B virus infection among HIV-infected patients"	"Prevalence, risk factors, and outcomes for occult hepatitis B virus infection among HIV-infected patients"	"Re 3rd, V.L.,* Frank, I., Gross, R., Dockter, J., Linnen, J.M., Giachetti, C., Tebas, P., Stern, J., Synnestvedt, M., Localio, A.R., Kostman, J.R. & Strom, B.L. "	2007	"Journal of Acquired Immune Deficiency Syndrome 2007, 44, 315-320"	"HIV, HIV/hepatitis B virus coinfection, occult hepatitis
B virus"	Item	sites/articleArch/Shared Documents
JAMA_2000_283_639_645_Catanzaro_et_al_test_for_Mtb.pdf	The Role of Clinical Suspicion in Evaluating a New Diagnostic Test for Active Tuberculosis: Results of a Multicenter Prospective Trial	The Role of Clinical Suspicion in Evaluating a New Diagnostic Test for Active Tuberculosis: Results of a Multicenter Prospective Trial	"Catanzaro, A.,* Perry, S., Clarridge, J.E., Dunbar, S., Goodnight-White, S., LoBue, P.A., Peter, C., Pfyffer, G.E., Sierra, M.F., Weber, R., Woods, G., Mathews, G., Jonas, V., Smith, K. & Della-Latta, P.
"	2000	"The Journal of the American Medical Association 2000, 283, 639-645"		Item	sites/articleArch/Shared Documents
JAmChemSoc_2002_v124_pp7950_7962_Browne_LDC.pdf	Metal Ion-Catalyzed Nucleic Acid Alkylation and Fragmentation	Metal Ion-Catalyzed Nucleic Acid Alkylation and Fragmentation	"Browne, K.A.*"	2002	"Journal of the American Chemical Society 2002, 124, 7950-7962"		Item	sites/articleArch/Shared Documents
JAmChemSoc_2005_v127_pp1989_1994_Browne_inversion_probes.pdf	"Sequence-Specific, Self-Reporting Hairpin Inversion Probes"	"Sequence-Specific, Self-Reporting Hairpin Inversion Probes"	"Browne, K.A.*"	2005	"Journal of the American Chemical Society 2005, 127, 1989-1994"		Item	sites/articleArch/Shared Documents
JAmChemSoc_2011_v133_pp14637_14648_Browne_et_al_wavelength_distinguishable_AE_probes.pdf	Simultaneous Quantification of Multiple Nucleic Acid Targets Using Chemiluminescent Probes	Simultaneous Quantification of Multiple Nucleic Acid Targets Using Chemiluminescent Probes	"Browne, K.A.,* Deheyn, D.D., El-Hiti, G.A., Smith, K. & Weeks, I."	2011	"Journal of the American Chemical Society 2011, 133, 14637-14648"		Item	sites/articleArch/Shared Documents
JBioluminChemilumin_1988_v2_pp121_128_Bagatgoitia_et_al_AE_chemil_emission_surfactants.pdf	Effect of Surfactants on the Intensity of Chemiluminescence Emission from Acridinium Ester Labelled Proteins 	Effect of Surfactants on the Intensity of Chemiluminescence Emission from Acridinium Ester Labelled Proteins	"Bagatgoitia, F.J.,* Garciá, J.L., Diéquez, C., Weeks, I. & Woodhead, J.S."	1988	"Journal of Bioluminescence and Chemiluminescence 1988, 2, 121-128"	Chemiluminescence; acridinium ester; surfactants; proteins	Item	sites/articleArch/Shared Documents
JBioluminChemilumin_1991_v6_pp35_43_Hammond_et_al_nucleophilic_addition_AE.pdf	Nucleophilic Addition to the 9 Position of 9-Phenylcarboxylate-10-methylacridinium Protects against Hydrolysis of the Ester 	Nucleophilic Addition to the 9 Position of 9-Phenylcarboxylate-10-methylacridinium Protects against Hydrolysis of the Ester	"Hammond, P.W.,* Wiese, W.A., Waldrop III, A.A., Nelson, N.C. & Arnold Jr., L.J."	1991	"Journal of Bioluminescence and Chemiluminescence 1991, 6, 35-43"	Acridinium ester; chemiluminescence; DNA probes; ester protection; nucleophilic addition	Item	sites/articleArch/Shared Documents
JClinMicro_1987_v25_pp1022_1026_Edelstein_et_al_GP_Legionellae_study.pdf	Retrospective Study of Gen-Probe Rapid Diagnostic System for Detection of Legionellae in Frozen Clinical Respiratory Tract Samples	Retrospective Study of Gen-Probe Rapid Diagnostic System for Detection of Legionellae in Frozen Clinical Respiratory Tract Samples	"Edelstein, P.H.,* Bryan, R.N., Enns, R.K., Kohne, D.E. & Kacian, D.L."	1987	"Journal of Clinical Microbiology 1987, 25, 1022-1026"		Item	sites/articleArch/Shared Documents
JClinMicro_1993_v31_pp2410_2416_Jonas_et_al_TMA_Mtb.pdf	Detection and identification of Mycobacterium tuberculosis directly from sputum sediments by amplification of rRNA	Detection and identification of Mycobacterium tuberculosis directly from sputum sediments by amplification of rRNA	"Jonas, V., Alden, M.J., Curry, J.I., Kamisango, K., Knott, C.A., Lankford, R., Wolfe, J.M. & Moore, D.F.*"	1993	"Journal of Clinical Microbiology 1993, 31, 2410-2416"		Item	sites/articleArch/Shared Documents
JClinMicro_1993_v31_pp845_850_Stockman_et_al_AE_probes_culture_ident.pdf	"Evaluation of commercially available acridinium ester-labeled chemiluminescent DNA probes for culture identification of Blastomyces dermatitidis, Coccidioides immitis, Cryptococcus neoformans, and Histoplasma capsulatum"	"Evaluation of commercially available acridinium ester-labeled chemiluminescent DNA probes for culture identification of Blastomyces dermatitidis, Coccidioides immitis, Cryptococcus neoformans, and Histoplasma capsulatum"	"Stockman, L., Clark, K.A., Hunt, J.M. & Roberts, G.D.*"	1993	"Journal of Clinical Microbiology 1993, 31, 845-850"		Item	sites/articleArch/Shared Documents
JClinMicro_1996_34_1745_1749_Moore_et_al_rRNA_amplification_tuberculosis.pdf	Amplification of rRNA for assessment of treatment response of pulmonary tuberculosis patients during antimicrobial therapy	Amplification of rRNA for assessment of treatment response of pulmonary tuberculosis patients during antimicrobial therapy	"Moore, D.F.,* Curry, J.I., Knott, C.A. & Jonas, V.
"	1996	"Journal of Clinical Microbiology 1996, 34, 1745-1749"		Item	sites/articleArch/Shared Documents
JClinMicro_1999_37_1234_1235_DellaLatta_and_Jonas_amplified_Mtb_test.pdf	Inhibitory Effect of Alpha-Tec XPR-Plus Phosphate Buffer on the Enhanced Gen-Probe Amplified Mycobacterium Tuberculosis Direct Test	Inhibitory Effect of Alpha-Tec XPR-Plus Phosphate Buffer on the Enhanced Gen-Probe Amplified Mycobacterium Tuberculosis Direct Test	"Della-Latta, P. & Jonas, V."	1999	"Journal of Clinical Microbiology 1999, 37, 1234-1235"		Item	sites/articleArch/Shared Documents
JClinMicro_1999_37_310_314_Kamisango_et_al_HBV_by_TMA.pdf	Quantitative Detection of Hepatitis B Virus by Transcription-Mediated Amplification and Hybridization Protection Assay	Quantitative Detection of Hepatitis B Virus by Transcription-Mediated Amplification and Hybridization Protection Assay	"Kamisango, K.,* Kamogawa, C., Sumi, M., Goto, S., Hirao, A., Gonzales, F., Yasuda, K. & Iino, S."	1999	"Journal of Clinical Microbiology 1999, 37, 310-314"		Item	sites/articleArch/Shared Documents
JClinMicro_2000_38_2688_2695_Emery_et_al_HIV1_viral_load.pdf	"Evaluation of Performance of the Gen-Probe Human Immunodeficiency Virus Type 1 Viral Load Assay Using Primary Subtype A, C, and D Isolates from Kenya"	"Evaluation of Performance of the Gen-Probe Human Immunodeficiency Virus Type 1 Viral Load Assay Using Primary Subtype A, C, and D Isolates from Kenya"	"Emery, S., Bodrug, S., Richardson, B.A., Giachetti, C., Bott, M.A., Panteleeff, D., Jagodzinski, L.L., Michael, N.L., Nduati, R., Bwayo, J., Kreiss, J.K. & Overbaugh, J.*"	2000	"Journal of Clinical Microbiology 2000, 38, 2688-2695"		Item	sites/articleArch/Shared Documents
JClinMicro_2002_v40_pp1761_1766_Kolk_et_al_HIV_HCV_detection_window.pdf	Significant Closure of the Human Immunodeficiency Virus Type 1 and Hepatitis C Virus Preseroconversion Detection Windows with a Transcription-Mediated-Amplification-Driven Assay	Significant Closure of the Human Immunodeficiency Virus Type 1 and Hepatitis C Virus Preseroconversion Detection Windows with a Transcription-Mediated-Amplification-Driven Assay	"Kolk, D.P.,* Dockter, J., Linnen, J., Ho-Sing-Loy, M., Gillotte-Taylor, K., McDonough, S.H., Mimms, L. & Giachetti, C."	2002	"Journal of Clinical Microbiology 2002, 40, 1761–1766"		Item	sites/articleArch/Shared Documents
